col1,col2,col3,col4,col5,col6,col7,col8,sort_date
01391-2025,05/06/2025 9:48 AM,05/03/2025 11:15 PM,Liquor Law Violation,Birttany Hall,Washington Square,A staff member reported a Liquor Law Violation.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-05-06
2025-1380,05/07/2025 2:34 PM,05/07/2025 8:00 PM - 05/07/2025 11:59 PM,Larceny,Weinstein Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-05-07
2025-1385,05/07/2025 9:50 PM,05/07/2025 9:40 PM - 05/07/2025 9:50 PM,Larceny,Washington Square Park,Washington Square,A student reported a Larceny.,Open,2025-05-07
2025-1381,05/07/2025 4:22 PM,05/07/2025 12:30 PM - 05/07/2025 3:45 PM,Larceny,Palladium Residence Hall,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD,2025-05-07
2025-1382,05/07/2025 4:29 PM,05/07/2025 2:00 PM - 05/07/2025 3:40 PM,Motor Vehicle Theft,16 Washington Place - Exterior,Washington Square,A student reported an E-Scooter Theft.,Closed/ Referred to NYPD,2025-05-07
2025-1386,05/07/2025 9:44 PM,05/07/2025 8:30 PM - 05/07/2025 8:40 PM,Criminal Mischief,Broome Street Residence,Washington Square,A student reported Criminal Mischief.,Open,2025-05-07
2025-1377,05/07/2025 5:37 AM,05/07/2025 5:35 AM - 05/07/2025 5:36 AM,Criminal Trespass,Lipton Hall,Washington Square,A contractor reported a criminal trespass.,Open,2025-05-07
2025-1378,05/07/2025 12:15 PM,05/06/2025 6:15 PM - 05/06/2025 11:25 PM,Larceny,Paulson Center,Washington Square,A student reported a theft.,Open,2025-05-07
2025-1391,05/08/2025 2:27 AM,05/07/2025 7:30 PM - 05/08/2025 1:50 AM,Burglary,Lipton Residence Hall,Washington Square,A student reported Criminal Mischief.,Open,2025-05-08
2025-1406,05/09/2025 4:52 PM,05/09/2025 1:00 PM - 05/09/2025 4:20 PM,Burglary,Rogers Hall,Brooklyn Commons,A staff member reported a Burglary.,Open,2025-05-09
2025-1419,05/10/2025 8:56 PM,05-10-2025,Arson,University Residence Hall,Washington Square,A staff member reported an Arson.,Open,2025-05-10
2025-1411,05/10/2025 12:14 AM,05/10/2025 12:07 AM - 05/10/2025 12:11 AM,Criminal Mischief,Carlyle Court - Exterior,Washington Square,A student reported Criminal Mischief.,Open,2025-05-10
2025-1431,05/11/2025 9:07 AM,05-11-2025 - 05/11/2025 9:30 AM,Harassment,Palladium Residence Hall,Washington Square,Two students reported Harassment,Closed /Referred to NYPD,2025-05-11
2025-1434,05/11/2025 1:40 PM,05/11/2025 1:38 PM - 05/11/2025 1:40 PM,Harassment,Palladium Residence Hall - Exterior,Washington Square,A student reported Harassment.,Closed,2025-05-11
2025-1424,05/11/2025 12:45 AM,05/10/2025 5:00 AM - 05/11/2025 12:40 AM,Larceny,Weinstein Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-05-11
2025-1449,05/12/2025 2:26 PM,05/12/2025 2:03 PM - 05/12/2025 2:05 PM,Harassment,Schwartz Hall,Kips Bay,A staff member reported Harassment.,Closed/ Referred to NYPD,2025-05-12
